iter	RMSE
0	0.9873413505
1	0.9754036604
2	0.9637808388
3	0.9526646511
4	0.9387537711
5	0.9297676948
6	0.9171920568
7	0.9061232725
8	0.8951801103
9	0.8857711961
10	0.8773764906
11	0.8663650315
12	0.858026486
13	0.8519664596
14	0.8446785215
15	0.8358522848
16	0.8296811222
17	0.8205660813
18	0.8144953648
19	0.8073892361
20	0.7981833951
21	0.7915209891
22	0.7852449414
23	0.7798444226
24	0.7733692904225	0.7680419237
26	0.764247744
27	0.7603891491
28	0.7551985979
29	0.747482072
30	0.7405410176
31	0.733907801
32	0.7291692111
33	0.7233628273
34	0.7185268987
35	0.7154474556
36	0.7107310543
37	0.7077371944
38	0.7039666511
39	0.7007231679
40	0.6958541948
41	0.6935006681
42	0.6889607871
43	0.6858847805
44	0.68160495
45	0.6787834687
46	0.6758134231
47	0.6730529216
48	0.6684321015449	0.6662238674550	0.6622367925551	0.6601891579552	0.656845021653	0.6565573616
554	0.6516547865555	0.6499930255656	0.6465497035757	0.6439885965858	0.6414727885959	0.6395782416060	0.6366760656161	0.63411332562	0.6288772517
6363	0.62914006064	0.6250530917
65	0.6214421375
66	0.6207302678
67	0.6189112727
6868	0.6207144666969	0.6177778477070	0.6169339067171	0.6150279872	72	0.6128017973	73	0.6109448474	74	0.6093538875	0.6030581685
76	0.6015139102
77	0.6001938904
78	0.5984629258
79	0.5964589005
880	0.59932665781	0.5936944233
882	0.595620440683	0.5885834762
84	0.5877193888
85	0.5843841146
886	0.590428104
87	0.5876578203
88	0.5865052084
89	0.5770093654
90	0.5758029683
91	0.5737526025
92	0.5724523334
93	0.5709940549
94	0.5702588546
95	0.5687084106
96	0.5670862816
97	0.5661652669
98	0.5650459556
99	0.5634859058
100	0.5630960036
101	0.5612903985
102	0.5593067526
103	0.5588657446
104	0.5569805597
105	0.5550030753
106	0.5531943702
107	0.5509903022
108	0.5490703971
109	0.5478396085
110	0.5469953739
111	0.5451165128
112	0.5437537292
113	0.5419729099
114	0.5413882386
115	0.5405098179
116	0.5401525888
117	0.5386774188
118	0.5379391782
119	0.5364778031
120	0.5352124815
121	0.534438419
122	0.5332703389
123	0.5322102076
124	0.5308161472
125	0.5304401868
126	0.5288025533
127	0.5276191151
128	0.5264952404
129	0.5255189469
130	0.5241058186
131	0.5226175477
132	0.5219629426
133	0.5200597506
134	0.5189121344
135	0.5174201927
136	0.5166482062
137	0.5156462329
138	0.5149003934
139	0.5143567815
140	0.514028078
141	0.5134697529
142	0.5125438755
143	0.5116293184
144	0.5112073247
145	0.5092392044
146	0.5086551995
147	0.5079425547
148	0.5069338716
149	0.5058599279
150	0.5049129642
151	0.5039553293
152	0.5033209482
153	0.5029811531
154	0.5022182395
155	0.5018722014
156	0.5003611283
157	0.4994324146
158	0.4990266025
159	0.498824185
160	0.4980111661
161	0.4973559308
162	0.4963117277
163	0.4959775015
164	0.4952523372
165	0.4942083657
166	0.4937143876
167	0.4926157588
168	0.4909325991
169	0.4899341925
170	0.4889886645
171	0.4883409339
172	0.4875607891
173	0.4866174	0.4174	0.4860175	0.4175	0.4847143321
176	0.4840248111
177	0.4832917149
178	0.4831179	0.4179	0.4819180	0.4180	0.4814181	0.4181	0.4799182	0.4182	0.4792183	0.4183	0.4782184	0.4184	0.4770185	0.4185	0.4764186	0.4186	0.4756187	0.4187	0.4749188	0.4188	0.4740189	0.4820858604
190	0.4190	0.4725191	0.4807180443
192	0.4192	0.4712193	0.4193	0.4706194	0.4194	0.4697195	0.4195	0.4693196	0.4196	0.4687197	0.4197	0.4674198	0.4198	0.4668199	0.4199	0.4657200	0.4200	0.4647201	0.4737462305
202	0.4202	0.4634203	0.4203	0.4631204	0.4204	0.4624205	0.4205	0.4614206	0.206	0.46090207	0.207	0.46055208	0.208	0.45949209	0.209	0.45914210	0.210	0.4585720013
211	0.45757212	0.212	0.45656213	0.213	0.45576214	0214	0.455497215	0215	0.455026216	0216	0.454012217	0.4641764731
218	0.4637224576
219	0.4626037516
220	0.4621095111
221	0.4612424666
222	0.4610833197
223	0.4606588908
224	0.4594695657
225	0.458292947
226	0.4570834156
227	0.4559323715
228	0.4554549388
229	0.4552817814
230	0.4544328312
231	0.4542289775
232	0.4534618496
233	0.4532677716
234	0.4527222687
235	0.4522461588
236	0.4513402102
237	0.4500945055
238	0.4499504556
239	0.4497852423
240	0.4487917463
241	0.4481652846
242	0.4474580145
243	0.44689055
244	0.4455006419
245	0.4450796302
246	0.4445328725
247	0.4442802291
248	0.4435696198
249	0.4433087904
250	0.4429214153
251	0.4426642363
252	0.4415290153
253	0.4403359939
254	0.4395802172
255	0.4387439764
256	0.4377692515
257	0.4372578222
2258	0.4288072733259	0.4356879468
260	0.435306364
26261	0.427468756262	0.4345940402
26263	0.42618503026264	0.42604536326265	0.425579252266	0.4334556526
26267	0.42462993726268	0.4237049622269	0.423362389
270	0.4226527785
271	0.4215617906
272	0.4208205179
273	0.4201581546
274	0.4194505311
275	0.4187040112
276	0.4185204808
277	0.4181732153
278	0.4174618228
279	0.4171463198
280	0.4168264556
281	0.4162464428
282	0.4158390296
283	0.4153862434
284	0.4151370653
285	0.4143831977
286	0.4139062265
287	0.4133392405
288	0.4132518839
289	0.4127368596
290	0.411556075
291	0.4109679589
292	0.4105548206
293	0.4099179759
294	0.4095498659
295	0.4089872499
296	0.4086651918
297	0.4083467609
298	0.4078707738
299	0.4073076562
300	0.4070822344
301	0.4060215117
302	0.4057218535
303	0.4050015799
304	0.4046380793
305	0.4039048133
306	0.4034993672
307	0.402713263
308	0.4022811354
309	0.4018432499
310	0.4011393269
311	0.4006101624
312	0.4000162672
313	0.3994459701
314	0.3991907598
315	0.3983743508
316	0.3977191006
317	0.39706072
318	0.3963864741
319	0.3957234645
320	0.3951759917
321	0.3945357701
322	0.3937645787
323	0.3934935683
324	0.3932480917
325	0.3927225362
326	0.3921273177
327	0.3913937167
328	0.3910037983
329	0.3901887352
330	0.3897092926
331	0.3889951031
332	0.3888089201
333	0.3883876477
334	0.3877857868
335	0.3875772308
336	0.3873518665
337	0.3869597124
338	0.3865780245
339	0.3862258899
340	0.3857412507
341	0.3853716652
342	0.385169804
343	0.3846629998
344	0.3841692338
345	0.3837897956
346	0.3834709803
347	0.3831995974
348	0.3823193868
349	0.3815166425
350	0.3811317294
351	0.3807564927
352	0.3800899783
353	0.3798379299
354	0.3793294102
355	0.3790708604
356	0.3788303634
357	0.3785166042
358	0.378131554
359	0.3778221696
360	0.3771888581
361	0.3764332108
362	0.3760444112
363	0.375615209
364	0.3752750561
365	0.3746187729
366	0.3744044537
367	0.3743240253
368	0.3741457711
369	0.37381221023370	0.37352740023371	0.37307113293372	0.37254933753373	0.37225350693374	0.37197660753375	0.3713634211
376	0.3709198714
377	0.3707473635
378	0.3700449549
379	0.3697779621
380	0.3696229744
381	0.3694523231
382	0.3692568879
383	0.36868768438384	0.36822062438385	0.36792933938386	0.36734982038387	0.36724852338388	0.36679521038389	0.36624319239390	0.36598407539391	0.36502459839392	0.36482913039393	0.36412765739394	0.36372008039395	0.3635557603
396	0.3633849862
397	0.362977097
398	0.3628144728
399	0.3624930585
400	0.3622144088
401	0.3618047891
402	0.3617080313
403	0.3615506239
404	0.3610788103
405	0.3605095468
406	0.3600494792
407	0.3596607746
408	0.3593130255
409	0.358910254
410	0.3588330593
411	0.3584618663
412	0.3582890151
413	0.3581138827
414	0.3577596885
415	0.3572488466
416	0.3569988259
417	0.3567531981
418	0.3562308574
419	0.3558692349
420	0.3555191845
421	0.3553174024
422	0.3548442643
423	0.3546672023
424	0.3543827538
425	0.3539313355
426	0.3537265208
427	0.353473755
428	0.353121943
429	0.3529753121
430	0.3526919238
431	0.3523844087
432	0.3521546399
433	0.3519468841
434	0.3515350457
435	0.3511943491
436	0.3510638219
437	0.3508369382
438	0.3505495865
439	0.3503147152
440	0.3495441	0.3441	0.3492442	0.3442	0.3487985856
443	0.3484890692
444	0.3482570862
445	0.3480620268
446	0.3479215324
447	0.3475579141
448	0.3474235837
449	0.3470917487
450	0.3468599389
451	0.3466242336
452	0.3463574964
453	0.3463334327
454	0.3459005251
455	0.3457702034
456	0.3451897798
457	0.3449863464
458	0.3447487837
459	0.3445885867
460	0.3443907996
461	0.344210497
462	0.3440878146
463	0.3439218637
464	0.3436975856
465	0.3435359476
466	0.3434689353
467	0.3433783786
468	0.3431138535
469	0.3427605276
470	0.3425299893
471	0.3422538599
472	0.3418353054
473	0.341595934
474	0.3411776582
475	0.3409802923
476	0.3407372057
477	0.3406158758
478	0.3402350417
479	0.3400714185
480	0.3398324447
481	0.3396365155
482	0.3392168096
483	0.3388253784
484	0.3387062214
485	0.3384143792
486	0.3382489477
487	0.3381059076
488	0.3379142564
489	0.3377917399
490	0.3374319877
491	0.3369287474
492	0.3366070781
493	0.3364289785
494	0.3362566522
495	0.3362067924
496	0.3360928929
497	0.3359722131
498	0.3357465865
499	0.335704811
500	0.3355587216
501	0.3351961327
502	0.3347764124
503	0.3343188011
504	0.333816464
505	0.33370011
506	0.3334948447
507	0.3328798804
508	0.332755685
509	0.332635692
510	0.332516473
511	0.3320676193
512	0.3319515195
513	0.3315347623
514	0.3313351064
515	0.3310293742
516	0.3308869827
517	0.3305635576
518	0.3304502545
519	0.3304071207
520	0.3302120203
521	0.3300210977
522	0.3297313809
523	0.3294970731
524	0.3291852566
525	0.328891149
526	0.3286513858
527	0.3285473401
528	0.3283932183
529	0.3281968993
530	0.3281013663
531	0.3278527499
532	0.3276057637
533	0.3273548279
534	0.3270707121
535	0.3268696256
536	0.3267320222
537	0.3265253327
538	0.3262747289
539	0.3260560928
540	0.3258849426
541	0.3256609851
542	0.3255142445
543	0.3252244714
544	0.3250063973
545	0.324942924
546	0.3246314354
547	0.3245388238
548	0.3244091553
549	0.3243194934
550	0.3242660162
551	0.3241786024
552	0.3240931987
553	0.3240098847
554	0.3238906184
555	0.3238616752
556	0.3235946699
557	0.3235284551
558	0.3234405459
559	0.3232459309
560	0.3230661267
561	0.322712577
562	0.3224114642
563	0.3221272652
564	0.3217669381
565	0.3216480227
566	0.3214818342
567	0.3212004374
568	0.3210873532
569	0.3209775523
570	0.3205110344
571	0.3202894296
572	0.3200730675
573	0.3196590826
574	0.3193086694
575	0.3190984339
576	0.3189436181
577	0.3187317006
578	0.318536392
579	0.317930643
580	0.3175905797
581	0.3173306395
582	0.3170638334
583	0.3168873675
584	0.3166019096
585	0.3165204492
586	0.3161709853
587	0.3158248291
588	0.3153473857
589	0.3151824264
590	0.315014556
591	0.3148546622
592	0.3145852602
593	0.3143325855
594	0.3141425969
595	0.3138569244
596	0.3136740675
597	0.3135869077
598	0.313336396
599	0.3132217034
600	0.3127740559
601	0.3127544463
602	0.3124847727
603	0.3122723808
604	0.312122179
605	0.3119197747
606	0.3118746234
607	0.3116797453
608	0.3115300833
609	0.3114312295
610	0.3113573374
611	0.3111331726
612	0.3108899303
613	0.3107318883
614	0.310563798
615	0.310482404
616	0.3103121542
617	0.310203507
618	0.3099952611
619	0.309904566
620	0.3094959186
621	0.3092474743
622	0.3090678431
623	0.3088384977
624	0.3084658387
625	0.3081032416
626	0.3079976053
627	0.3078738715
628	0.3075459711
629	0.3074766797
630	0.3073396733
631	0.3072274492
632	0.3070873533
633	0.3070117217
634	0.3069852625
635	0.3067937295
636	0.3067149222
637	0.3066418018
638	0.3064000272
639	0.3059569712
640	0.305788681
641	0.305497255
642	0.3050698586
643	0.3048612091
644	0.3046216603
645	0.3041596711
646	0.3041347568
647	0.3036877581
648	0.3036078261
649	0.3035429081
650	0.3033649023
651	0.3032180571
652	0.302875463
653	0.3027469729
654	0.302575096
655	0.3022189049
656	0.301954875
657	0.3018934401
658	0.3015999971
659	0.3013721457
660	0.3009057555
661	0.3007973832
662	0.3007257081
663	0.3005036165
664	0.300433367
665	0.3003392203
666	0.3001173946
667	0.2998919
668	0.2996307811
669	0.2995665883
670	0.2993833115
671	0.2992262139
672	0.2990987508
673	0.2987981431
674	0.2986316915
675	0.2985593925
676	0.2984370771
677	0.298331917
678	0.2982034049
679	0.2981355227
680	0.2978505311
681	0.2976428155
682	0.2975985671
683	0.297424254
