iter	Passed	Remaining
0	144	143954
1	151	75498
2	159	53011
3	169	42117
4	176	35055
5	182	30250
6	189	26906
7	196	24321
8	203	22431
9	212	20992
10	217	19571
11	226	18676
12	236	17954
13	243	17171
14	248	16310
15	259	15934
16	265	15358
17	274	14998
18	282	14561
19	289	14209
20	295	13778
21	300	13365
22	308	13114
23	319	12987
24	328	12816
25	340	12767
26	351	12660
27	360	12527
28	367	12304
29	377	12209
30	383	11997
31	390	11799
32	396	11608
33	404	11501
34	413	11393
35	425	11391
36	432	11250
37	437	11079
38	442	10895
39	446	10708
40	453	10599
41	458	10453
42	469	10441
43	476	10353
44	484	10282
45	491	10191
46	496	10057
47	503	9982
48	509	9874949	517	9835050	526	9795151	532	9705252	542	96853	550	9645
5454	558	9595555	566	9555656	574	9505757	584	9495858	594	9475959	605	9486060	614	9456161	621	94062	625	9299
6363	633	92664	643	9250
65	653	9249
66	659	9189
67	668	9155
6868	673	9096969	683	9087070	688	9017171	697	8997272	706	8977373	713	8927474	719	88675	725	8818
76	736	8828
77	743	8788
78	749	8733
79	755	8692
8080	765	86981	770	8628
8282	781	86283	787	8582
84	793	8545
85	802	8524
8686	811	8518787	820	8508888	827	84689	835	8444
90	841	8400
91	852	8410
92	861	8399
93	869	8377
94	879	8379
95	887	8357
96	895	8333
97	903	8320
98	912	8303
99	921	8291
100	931	8291
101	941	8289
102	949	8272
103	958	8256
104	964	8220
105	974	8220
106	983	8205
107	990	8177
108	999	8168
109	1008	8162
110	1016	8142
111	1027	8148
112	1034	8121
113	1042	8099
114	1048	8070
115	1057	8055
116	1063	8028
117	1074	8033
118	1078	7987
119	1086	7970
120	1096	7962
121	1101	7927
122	1111	7927
123	1119	7906
124	1128	7902
125	1137	7891
126	1144	7867
127	1150	7836
128	1159	7829
129	1164	7795
130	1174	7792
131	1185	7798
132	1200	7822
133	1210	7825
134	1219	7812
135	1227	7797
136	1232	7764
137	1242	7759
138	1247	7728
139	1256	7719
140	1261	7683
141	1269	7669
142	1276	7650
143	1288	7656
144	1295	7641
145	1300	7609
146	1308	7591
147	1315	7570
148	1326	7576
149	1334	7564
150	1344	7562
151	1353	7550
152	1359	7527
153	1364	7496
154	1369	7467
155	1376	7445
156	1382	7420
157	1389	7406
158	1400	7405
159	1407	7387
160	1416	7382
161	1421	7355
162	1428	7333
163	1436	7323
164	1441	7295
165	1450	7285
166	1462	7292
167	1471	7285
168	1476	7260
169	1485	7252
170	1491	7232
171	1499	7220
172	1506	7201
173	1512	7177
174	1519	7165
175	1529	7162
176	1539	7157
177	1545	7138
178	1550	7112
179	1556	7089
180	1562	7070
181	1571	7062
182	1577	7042
183	1587	7040
184	1593	7019
185	1600	7003
186	1607	6987
187	1617	6986
188	1624	6970
189	1635	6974
190	1640	6948
191	1648	6938
192	1653	6913
193	1660	6899
194	1668	6886
195	1677	6879
196	1684	6865
197	1694	6865
198	1706	6869
199	1715	6860
200	1722	6845
201	1733	6846
202	1739	6828
203	1746	6815
204	1755	6809
205	1765	6803
206	1770	6782
207	1778	6771
208	1785	6758
209	1794	6750
210	1801	6736
211	1807	6716
212	1814	6703
213	1819	6682
214	1827	6672
215	1834	6657
216	1840	6640
217	1853	6650
218	1865	6652
219	1871	6634
220	1877	6616
221	1887	6616
222	1898	6616
223	1907	6608
224	1912	6589
225	1918	6569
226	1926	6561
227	1934	6549
228	1944	6547
229	1953	6539
230	1960	6525
231	1965	6505
232	1973	6497
233	1983	6494
234	1993	6490
235	2003	6484
236	2012	6479
237	2020	6468
238	2032	6470
239	2040	6462
240	2050	6459
241	2059	6452
242	2068	6442
243	2077	6436
244	2084	6423
245	2089	6403
246	2097	6395
247	2104	6380
248	2113	6375
249	2120	6360
250	2127	6347
251	2135	6339
252	2145	6334
253	2151	6318
254	2159	6308
255	2168	6302
256	2174	6286
257	2182	6275
258	2182	6245
259	2196	6251
260	2204	6241
261	2206	6216
262	2218	6217
263	2221	6194
264	2231	6189
265	2239	6179
266	2252	6183
267	2257	6166
268	2264	6152
269	2271	6140
270	2277	6126
271	2286	6118
272	2293	6108
273	2302	6101
