iter	RMSE
0	1.000230386
1	0.9875807442
2	0.9757802494
3	0.9643353073
4	0.9493817007
5	0.9395927974
6	0.9289899891
7	0.9200466569
8	0.9116209896
9	0.9021627556
10	0.8943634074
11	0.8866803956
12	0.8801211103
13	0.8716720385
14	0.8638110137
15	0.8559077543
16	0.8480154277
17	0.8355700163
18	0.8284853283
19	0.8218894166
20	0.8141721413
21	0.806421397
22	0.8012924778
23	0.7945910922
24	0.7887773749
25	0.7827438654
26	0.7768536435
27	0.7731963473
28	0.7697368239
29	0.7656884911
30	0.761607923
31	0.7571687693
32	0.7522294945
33	0.7461296161
34	0.7419760733
35	0.737278327
36	0.7340642065
37	0.7306016667
38	0.727218937
39	0.7250400623
40	0.7218167992
41	0.7173399523
42	0.7135743993
43	0.7084443084
44	0.7046352964
45	0.7008930991
46	0.6986329244
47	0.696034767
48	0.6934356777
49	0.6906247245
50	0.6881468611
51	0.6847511374
52	0.6820311571
53	0.6794166625
54	0.6757773244
55	0.6732938022
56	0.6675118141
57	0.6631857966
58	0.6612453569
59	0.658241865
60	0.6556284278
61	0.6541536598
62	0.650398208
63	0.6477116444
64	0.645857147
65	0.6428623082
66	0.6420596807
67	0.6405667559
68	0.6374606916
69	0.6345399279
70	0.6308461862
71	0.6289630355
72	0.6268680776
73	0.625309193
74	0.6224211209
75	0.6207532144
76	0.6192945042
77	0.6162602444
78	0.6135231025
79	0.6117764443
80	0.6100284801
81	0.6081257001
82	0.6066050924
83	0.6045754995
84	0.60241204
85	0.5999576041
86	0.5982369644
87	0.5965300827
88	0.5950164975
89	0.5936885541
90	0.5928581561
91	0.5915782158
92	0.5906560196
93	0.5894036995
94	0.5873432774
95	0.5864320488
96	0.58538601
97	0.5840405773
98	0.5829300181
99	0.5811750658
100	0.580236196
101	0.5792613521
102	0.576212832
103	0.5745903496
104	0.5731806625
105	0.5726993788
106	0.5714233154
107	0.5692657465
108	0.5669937755
109	0.5660688838
110	0.5653541522
111	0.5634891116
112	0.5618369635
113	0.5611004541
114	0.5592055057
115	0.5582962791
116	0.5571467508
117	0.5562492842
118	0.5532465612
119	0.5515523717
120	0.55017783
121	0.5490347832
122	0.5475500047
123	0.5462757036
124	0.5451006304
125	0.5447067094
126	0.5432388289
127	0.5426862498
128	0.5420426412
129	0.5401775541
130	0.5387848862
131	0.5375288792
132	0.5371073358
133	0.5364095565
134	0.5340970269
135	0.5334807658
136	0.5329754813
137	0.5323147836
138	0.5316852322
139	0.5302297903
140	0.529029051
141	0.5282384576
142	0.5270614898
143	0.5261645263
144	0.5255078345
145	0.5233817136
146	0.5220825065
147	0.5213770345
148	0.5203570151
149	0.5188133007
150	0.5175473894
151	0.5164075106
152	0.5161544326
153	0.5151695277
154	0.5142060555
155	0.5127213578
156	0.5117002901
157	0.5104975996
158	0.5095074143
159	0.5088862452
160	0.5068606586
161	0.5066634711
162	0.5053367912
163	0.5047790319
164	0.503670344
165	0.502883031
166	0.5018627485
167	0.5011744976
168	0.5006306863
169	0.499052697
170	0.4985469687
171	0.4977885159
172	0.4973879248
173	0.4965440592
174	0.4959235551
175	0.4953348627
176	0.494640911
177	0.4939596016
178	0.4934851412
179	0.4924985012
180	0.4915507569
181	0.490989351
182	0.4898898236
183	0.4894172659
184	0.4889753859
185	0.4884390665
186	0.4875914834
187	0.4868829137
188	0.4854726806
189	0.4846989216
190	0.4842061379
191	0.4837869383
192	0.4833786758
193	0.4827189181
194	0.482017757
195	0.4817039035
196	0.481375298
197	0.4810044545
198	0.480482539
199	0.4801051276
200	0.4798249731
201	0.4782550237
202	0.4779111082
203	0.4775373907
204	0.4762784312
205	0.4760034329
206	0.4755467926
207	0.4741187755
208	0.4739691087
209	0.4724056587
210	0.4710416187
211	0.4704845374
212	0.4695623383
213	0.4691990945
214	0.4684603982
215	0.4670416971
216	0.4659650053
217	0.465623072
218	0.4653529314
219	0.464571407
220	0.4643662422
221	0.4639346848
222	0.4629540591
223	0.4626447501
224	0.461494915
225	0.4604532037
226	0.4599717567
227	0.4592109063
228	0.4581056556
229	0.4578467533
230	0.4571504181
231	0.4566699479
232	0.4559238755
233	0.4544662565
234	0.453497199
