iter	Passed	Remaining
0	155	155305
1	167	83345
2	175	58178
3	183	45694
4	196	39174
5	206	34136
6	218	31049
7	226	28039
8	235	25893
9	244	24243
10	255	22993
11	267	22052
12	277	21057
13	289	20375
14	298	19631
15	309	19027
16	319	18501
17	328	17922
18	340	17573
19	347	17032
20	357	16677
21	368	16394
22	374	15926
23	388	15806
24	400	15631
25	410	15370
26	418	15096
27	428	14871
28	437	14639
29	445	14406
30	454	14198
31	467	14154
32	480	14067
33	490	13944
34	499	13767
35	508	13605
36	518	13499
37	534	13525
38	540	13321
39	548	13156
40	556	13015
41	564	12882
42	579	12896
43	587	12760
44	596	12663
45	606	12579
46	618	12531
47	624	12377
48	638	12397
49	647	12311
50	656	12215
51	669	12210
52	676	12086
53	684	11987
54	691	11881
55	703	11853
56	712	11785
57	727	11808
58	739	11799
59	747	11708
60	758	11678
61	768	11631
62	775	11539
63	790	11557
64	800	11514
65	806	11414
66	820	11420
67	835	11449
68	845	11412
69	854	11351
70	865	11327
71	874	11268
72	886	11252
73	897	11234
74	906	11183
75	919	11173
76	927	11118
77	936	11065
78	950	11078
79	959	11037
80	970	11014
81	980	10978
82	988	10918
83	996	10867
84	1002	10789
85	1009	10729
86	1016	10672
87	1028	10653
88	1035	10602
89	1044	10561
90	1052	10513
91	1061	10480
92	1067	10493	93	1079	10402
94	1088	10395	95	1095	10396	96	1108	10315
97	1116	10274
98	1129	10277
99	1134	102100100	1144	10191
101	1150	101102102	1160	101103103	1168	100104104	1179	100105105	1189	100106106	1197	99107107	1210	99108108	1218	99109109	1231	9964
110	1237	99111111	1250	99112112	1258	98113113	1265	98114114	1274	98115115	1283	97116116	1293	97117117	1302	97118118	1312	9718
119	1325	9723
120	1333	9687
121	1341	9657
122	1349	9619
123	1360	9613
124	1370	9596
125	1383	9594
126	1390	9554
127	1398	9525
128	1406	9494
129	1415	9475
130	1421	9432
131	1431	9415
132	1442	9400
133	1453	9390
134	1464	9386
135	1476	9379
136	1483	9346
137	1506	9407
138	1514	9381
139	1524	9362
140	1529	9319
141	1540	9310
142	1547	9275
143	1557	9258
144	1566	9236
145	1574	9210
146	1586	9208
147	1594	9179
148	1604	9164
149	1612	9134
150	1622	9121
151	1630	9093
152	1640	9082
153	1650	9066
154	1658	9043
155	1670	9036
156	1679	9020
157	1689	9005
158	1699	8990
159	1708	8969
160	1718	8956
161	1731	8958
162	1745	8963
163	1759	8967
164	1770	8961
165	1783	8962
166	1794	8951
167	1805	8939
168	1812	8912
169	1818	8879
170	1826	8854
171	1833	8828
172	1844	8814
173	1854	8804
174	1862	8780
175	1869	8754
176	1878	8736
177	1888	8720
178	1898	8708
179	1905	8680
180	1915	8667
181	1925	8653
182	1933	8633
183	1944	8624
184	1952	8599
185	1960	8578
186	1970	8566
187	1978	8545
188	1987	8528
189	1994	8501
190	2005	8494
191	2014	8478
192	2020	8448
193	2031	8438
194	2041	8426
195	2050	8412
196	2056	8383
197	2067	8374
198	2079	8369
199	2087	8351
200	2095	8331
201	2102	8307
202	2106	8269
203	2115	8254
204	2125	8241
205	2135	8230
206	2145	8217
207	2154	8204
208	2164	8190
209	2174	8181
210	2182	8161
211	2192	8151
212	2201	8133
213	2213	8129
214	2219	8102
215	2229	8093
216	2236	8069
217	2247	8063
218	2257	8049
219	2261	8019
220	2272	8011
221	2284	8005
222	2296	8002
223	2304	7984
224	2315	7975
225	2324	7962
226	2333	7946
227	2340	7924
228	2352	7921
229	2361	7906
230	2369	7887
231	2377	7868
232	2387	7858
233	2394	7837
234	2401	7817
235	2412	7811
236	2418	7787
237	2430	7781
238	2440	7772
239	2448	7754
240	2457	7739
241	2467	7728
242	2478	7721
243	2493	7724
244	2501	7708
245	2510	7695
246	2520	7683
247	2532	7678
248	2543	7671
249	2552	7657
250	2562	7646
251	2572	7636
252	2581	7620
253	2587	7600
254	2596	7587
255	2610	7585
256	2619	7572
257	2627	7557
258	2637	7546
259	2645	7530
260	2656	7521
261	2666	7511
262	2672	7488
263	2684	7483
264	2691	7464
265	2698	7446
266	2706	7429
267	2715	7416
268	2724	7402
269	2732	7388
270	2739	7368
271	2748	7356
272	2756	7341
273	2766	7330
274	2778	7324
275	2787	7311
276	2795	7295
277	2806	7288
278	2816	7278
279	2826	7268
280	2836	7256
281	2841	7235
282	2847	7214
283	2858	7206
284	2867	7193
285	2878	7186
286	2889	7179
287	2898	7164
288	2907	7153
289	2916	7141
290	2924	7124
291	2934	7115
292	2943	7101
293	2951	7088
294	2961	7078
295	2971	7068
296	2987	7070
297	2997	7061
298	3005	7046
299	3015	7036
300	3026	7028
301	3032	7009
302	3041	6995
303	3050	6983
304	3059	6971
305	3069	6961
306	3077	6946
307	3084	6930
308	3094	6920
309	3104	6909
310	3112	6894
311	3118	6876
312	3126	6863
313	3134	6848
314	3142	6832
315	3152	6823
316	3161	6810
317	3172	6804
318	3182	6794
319	3189	6778
320	3202	6774
321	3212	6765
322	3221	6752
323	3231	6743
324	3240	6729
325	3247	6713
326	3255	6699
327	3266	6692
328	3273	6676
329	3282	6664
330	3287	6645
331	3295	6630
332	3304	6618
333	3312	6604
334	3318	6588
335	3327	6575
336	3339	6569
